ts,type,code,avgScore,minScore,scores,region,error,expected
2025-09-28T19:08:45.370Z,capture,77:77:77,0.6166666666666667,0.5333333333333333,0.5333333333333333|0.5333333333333333|0.8666666666666667|0.5333333333333333|0.5333333333333333|0.8666666666666667|0.5333333333333333|0.5333333333333333,full,,
2025-09-28T19:08:46.095Z,capture,44:67:77,0.625,0.5333333333333333,0.6|0.6|0.6666666666666666|0.6666666666666666|0.5333333333333333|0.8666666666666667|0.5333333333333333|0.5333333333333333,full,,
2025-09-28T19:08:46.811Z,capture,24:47:77,0.6416666666666666,0.4,0.7333333333333333|0.7333333333333333|0.4|0.8|0.5333333333333333|0.8666666666666667|0.5333333333333333|0.5333333333333333,full,,
2025-09-28T19:08:47.530Z,capture,11:17:77,0.6499999999999999,0.5333333333333333,0.6666666666666666|0.5333333333333333|0.8666666666666667|0.6666666666666666|0.5333333333333333|0.8666666666666667|0.5333333333333333|0.5333333333333333,full,,
2025-09-28T19:08:48.254Z,capture,17:47:77,0.6499999999999999,0.5333333333333333,0.8|0.6666666666666666|0.6666666666666666|0.6|0.5333333333333333|0.8666666666666667|0.5333333333333333|0.5333333333333333,full,,
2025-09-28T19:08:48.979Z,capture,11:37:77,0.625,0.5333333333333333,0.6|0.5333333333333333|0.6666666666666666|0.7333333333333333|0.5333333333333333|0.8666666666666667|0.5333333333333333|0.5333333333333333,full,,
2025-09-28T19:08:49.705Z,capture,01:17:77,0.6499999999999999,0.5333333333333333,0.6666666666666666|0.5333333333333333|0.9333333333333333|0.6|0.5333333333333333|0.8666666666666667|0.5333333333333333|0.5333333333333333,full,,
2025-09-28T19:08:50.429Z,capture,01:17:77,0.6416666666666666,0.5333333333333333,0.6666666666666666|0.5333333333333333|0.8666666666666667|0.6|0.5333333333333333|0.8666666666666667|0.5333333333333333|0.5333333333333333,full,,
2025-09-28T19:08:51.154Z,capture,71:77:77,0.625,0.5333333333333333,0.6|0.5333333333333333|0.8666666666666667|0.5333333333333333|0.5333333333333333|0.8666666666666667|0.5333333333333333|0.5333333333333333,full,,
2025-09-28T19:08:51.888Z,capture,01:17:77,0.6416666666666666,0.5333333333333333,0.6666666666666666|0.5333333333333333|0.8|0.6666666666666666|0.5333333333333333|0.8666666666666667|0.5333333333333333|0.5333333333333333,full,,
2025-09-28T19:08:52.613Z,capture,11:17:77,0.6333333333333333,0.5333333333333333,0.6666666666666666|0.5333333333333333|0.7333333333333333|0.6666666666666666|0.5333333333333333|0.8666666666666667|0.5333333333333333|0.5333333333333333,full,,
